link_id,node_st,node_ed,hour,sample_count,length_mean,bf_speed_mean,observed_avg_speed_mean,pred_slow_ratio,pred_smooth_ratio,pred_congested_ratio,main_pred_congestion,main_time_multiplier,base_travel_time_min,pred_travel_time_min
1000000100,서울역사박물관,정동사거리,10,16,293.1666177,24.29125,26.60875,0.875,0.125,0,서행,1.5,724.1289379,1086.193407
1000000100,서울역사박물관,정동사거리,11,16,293.1666177,26.60875,23.311875,0.4375,0.5625,0,원활,1,661.0606309,661.0606309
1000000100,서울역사박물관,정동사거리,12,16,293.1666177,23.311875,18.785625,0.8125,0.1875,0,서행,1.5,754.5509343,1131.826401
1000000100,서울역사박물관,정동사거리,13,16,293.1666177,18.785625,22.24125,0.6875,0.0625,0.25,서행,1.5,936.3541038,1404.531156
1000000100,서울역사박물관,정동사거리,14,16,293.1666177,22.24125,20.33375,0.6875,0.3125,0,서행,1.5,790.8726831,1186.309025
1000000100,서울역사박물관,정동사거리,15,16,293.1666177,20.33375,17.2275,0.5625,0.25,0.1875,서행,1.5,865.064096,1297.596144
1000000100,서울역사박물관,정동사거리,16,16,293.1666177,17.2275,14.924375,0.3125,0.1875,0.5,정체,3,1021.041768,3063.125305
1000000100,서울역사박물관,정동사거리,17,16,293.1666177,14.924375,13.88,0.375,0.0625,0.5625,정체,3,1178.608623,3535.825868
1000000100,서울역사박물관,정동사거리,18,16,293.1666177,13.88,12.49875,0.3125,0.0625,0.625,정체,3,1267.290855,3801.872564
1000000100,서울역사박물관,정동사거리,19,16,293.1666177,12.49875,12.14875,0.375,0,0.625,정체,3,1407.340499,4222.021497
1000000100,서울역사박물관,정동사거리,20,16,293.1666177,12.14875,17.20875,0.4375,0,0.5625,정체,3,1447.885343,4343.656029
1000000200,정동사거리,서울역사박물관,10,16,293.1666177,27.269375,26.28125,0.625,0.375,0,서행,1.5,645.0458458,967.5687687
1000000200,정동사거리,서울역사박물관,11,16,293.1666177,26.28125,27.289375,0.625,0.375,0,서행,1.5,669.2983424,1003.947514
1000000200,정동사거리,서울역사박물관,12,16,293.1666177,27.289375,25.960625,0.25,0.75,0,원활,1,644.5731008,644.5731008
1000000200,정동사거리,서울역사박물관,13,16,293.1666177,25.960625,26.654375,0.25,0.6875,0.0625,원활,1,677.5644678,677.5644678
1000000200,정동사거리,서울역사박물관,14,16,293.1666177,26.654375,28.074375,0.1875,0.8125,0,원활,1,659.9290759,659.9290759
1000000200,정동사거리,서울역사박물관,15,16,293.1666177,28.074375,27.773125,0.0625,0.9375,0,원활,1,626.5499076,626.5499076
1000000200,정동사거리,서울역사박물관,16,16,293.1666177,27.773125,27.134375,0.1875,0.8125,0,원활,1,633.3459797,633.3459797
1000000200,정동사거리,서울역사박물관,17,16,293.1666177,27.134375,26.91,0.1875,0.8125,0,원활,1,648.2551031,648.2551031
1000000200,정동사거리,서울역사박물관,18,16,293.1666177,26.91,28.886875,0.1875,0.8125,0,원활,1,653.6602401,653.6602401
1000000200,정동사거리,서울역사박물관,19,16,293.1666177,28.886875,29.060625,0.0625,0.9375,0,원활,1,608.9269629,608.9269629
1000000200,정동사거리,서울역사박물관,20,16,293.1666177,29.060625,29.63625,0,1,0,원활,1,605.2862615,605.2862615
1000000300,종로구청입구,종로1가,10,16,315.5746966,24.679375,22.5775,0.6875,0.3125,0,서행,1.5,767.2188536,1150.82828
1000000300,종로구청입구,종로1가,11,16,315.5746966,22.5775,20.3325,0.75,0.25,0,서행,1.5,838.6438621,1257.965793
1000000300,종로구청입구,종로1가,12,16,315.5746966,20.3325,19.4,0.9375,0.0625,0,서행,1.5,931.2421884,1396.863283
1000000300,종로구청입구,종로1가,13,16,315.5746966,19.4,18.9475,0.9375,0,0.0625,서행,1.5,976.0042163,1464.006324
1000000300,종로구청입구,종로1가,14,16,315.5746966,18.9475,18.86625,0.9375,0,0.0625,서행,1.5,999.3129329,1498.969399
1000000300,종로구청입구,종로1가,15,16,315.5746966,18.86625,18.16625,0.9375,0,0.0625,서행,1.5,1003.616606,1505.424909
1000000300,종로구청입구,종로1가,16,16,315.5746966,18.16625,18.11375,0.875,0,0.125,서행,1.5,1042.288959,1563.433438
1000000300,종로구청입구,종로1가,17,16,315.5746966,18.11375,17.57125,0.8125,0,0.1875,서행,1.5,1045.309878,1567.964816
1000000300,종로구청입구,종로1가,18,16,315.5746966,17.57125,18.060625,0.8125,0,0.1875,서행,1.5,1077.583086,1616.374629
1000000300,종로구청입구,종로1가,19,16,315.5746966,18.060625,17.465625,0.875,0,0.125,서행,1.5,1048.384638,1572.576956
1000000300,종로구청입구,종로1가,20,16,315.5746966,17.465625,19.115625,0.875,0,0.125,서행,1.5,1084.09987,1626.149805
1000000400,종로1가,종로구청입구,10,16,315.5746966,23.485,22.475625,0.875,0.125,0,서행,1.5,806.2372491,1209.355874
1000000400,종로1가,종로구청입구,11,16,315.5746966,22.475625,21.62625,1,0,0,서행,1.5,842.4451732,1263.66776
1000000400,종로1가,종로구청입구,12,16,315.5746966,21.62625,20.685625,1,0,0,서행,1.5,875.5323644,1313.298547
1000000400,종로1가,종로구청입구,13,16,315.5746966,20.685625,20.085,1,0,0,서행,1.5,915.3449217,1373.017383
1000000400,종로1가,종로구청입구,14,16,315.5746966,20.085,19.280625,1,0,0,서행,1.5,942.7175403,1414.07631
1000000400,종로1가,종로구청입구,15,16,315.5746966,19.280625,18.4,1,0,0,서행,1.5,982.0470963,1473.070644
1000000400,종로1가,종로구청입구,16,16,315.5746966,18.4,16.204375,0.9375,0,0.0625,서행,1.5,1029.047924,1543.571886
1000000400,종로1가,종로구청입구,17,16,315.5746966,16.204375,16.291875,0.6875,0,0.3125,서행,1.5,1168.479611,1752.719416
1000000400,종로1가,종로구청입구,18,16,315.5746966,16.291875,15.93125,0.875,0,0.125,서행,1.5,1162.20397,1743.305954
1000000400,종로1가,종로구청입구,19,16,315.5746966,15.93125,15.58625,0.75,0,0.25,서행,1.5,1188.512,1782.768
1000000400,종로1가,종로구청입구,20,16,315.5746966,15.58625,16.895,0.8125,0,0.1875,서행,1.5,1214.819588,1822.229381
1000000500,종로2가,종로1가,10,16,690.4102158,18.953125,19.460625,0.9375,0.0625,0,서행,1.5,2185.634978,3278.452467
1000000500,종로2가,종로1가,11,16,690.4102158,19.460625,19.038125,0.875,0,0.125,서행,1.5,2128.637336,3192.956003
1000000500,종로2가,종로1가,12,16,690.4102158,19.038125,18.034375,0.875,0.0625,0.0625,서행,1.5,2175.876718,3263.815077
1000000500,종로2가,종로1가,13,16,690.4102158,18.034375,18.88375,0.8125,0,0.1875,서행,1.5,2296.980791,3445.471186
1000000500,종로2가,종로1가,14,16,690.4102158,18.88375,18.23875,0.9375,0,0.0625,서행,1.5,2193.66455,3290.496825
1000000500,종로2가,종로1가,15,16,690.4102158,18.23875,16.785,0.9375,0,0.0625,서행,1.5,2271.241886,3406.862829
1000000500,종로2가,종로1가,16,16,690.4102158,16.785,15.64875,0.625,0,0.375,서행,1.5,2467.954301,3701.931452
1000000500,종로2가,종로1가,17,16,690.4102158,15.64875,15.038125,0.625,0,0.375,서행,1.5,2647.151558,3970.727337
1000000500,종로2가,종로1가,18,16,690.4102158,15.038125,15.805,0.5625,0,0.4375,서행,1.5,2754.639488,4131.959232
1000000500,종로2가,종로1가,19,16,690.4102158,15.805,16.4775,0.6875,0,0.3125,서행,1.5,2620.981522,3931.472282
1000000500,종로2가,종로1가,20,16,690.4102158,16.4775,21.263125,0.9375,0,0.0625,서행,1.5,2514.010799,3771.016199
1000000600,종로1가,종로2가,10,16,690.4102158,20.865625,18.66375,0.6875,0.1875,0.125,서행,1.5,1985.3042,2977.9563
1000000600,종로1가,종로2가,11,16,690.4102158,18.66375,14.03375,0.6875,0.125,0.1875,서행,1.5,2219.522494,3329.283741
1000000600,종로1가,종로2가,12,16,690.4102158,14.03375,12.699375,0.3125,0,0.6875,정체,3,2951.785015,8855.355044
1000000600,종로1가,종로2가,13,16,690.4102158,12.699375,11.55625,0.3125,0,0.6875,정체,3,3261.941076,9785.823227
1000000600,종로1가,종로2가,14,16,690.4102158,11.55625,11.0125,0.25,0,0.75,정체,3,3584.606853,10753.82056
1000000600,종로1가,종로2가,15,16,690.4102158,11.0125,9.938125,0.0625,0,0.9375,정체,3,3761.59936,11284.79808
1000000600,종로1가,종로2가,16,16,690.4102158,9.938125,10.119375,0,0,1,정체,3,4168.252356,12504.75707
1000000600,종로1가,종로2가,17,16,690.4102158,10.119375,10.79625,0.0625,0,0.9375,정체,3,4093.594016,12280.78205
1000000600,종로1가,종로2가,18,16,690.4102158,10.79625,10.61125,0.25,0,0.75,정체,3,3836.944582,11510.83375
1000000600,종로1가,종로2가,19,16,690.4102158,10.61125,10.094375,0.125,0,0.875,정체,3,3903.839128,11711.51738
1000000600,종로1가,종로2가,20,16,690.4102158,10.094375,11.815625,0.25,0,0.75,정체,3,4103.732321,12311.19696
1000000700,새문안교회,서울역사박물관,10,16,266.9429425,23.598125,21.268125,0.625,0.375,0,서행,1.5,678.7224218,1018.083633
1000000700,새문안교회,서울역사박물관,11,16,266.9429425,21.268125,23.560625,0.75,0.1875,0.0625,서행,1.5,753.0789174,1129.618376
1000000700,새문안교회,서울역사박물관,12,16,266.9429425,23.560625,23.815,0.75,0.25,0,서행,1.5,679.8027026,1019.704054
1000000700,새문안교회,서울역사박물관,13,16,266.9429425,23.815,23.889375,0.8125,0.1875,0,서행,1.5,672.5415305,1008.812296
1000000700,새문안교회,서울역사박물관,14,16,266.9429425,23.889375,22.561875,0.875,0.125,0,서행,1.5,670.4477011,1005.671552
1000000700,새문안교회,서울역사박물관,15,16,266.9429425,22.561875,20.799375,0.9375,0.0625,0,서행,1.5,709.8956337,1064.843451
1000000700,새문안교회,서울역사박물관,16,16,266.9429425,20.799375,18.76625,0.9375,0.0625,0,서행,1.5,770.0508573,1155.076286
1000000700,새문안교회,서울역사박물관,17,16,266.9429425,18.76625,17.411875,0.75,0,0.25,서행,1.5,853.4777353,1280.216603
1000000700,새문안교회,서울역사박물관,18,16,266.9429425,17.411875,15.455625,0.5625,0,0.4375,서행,1.5,919.8651237,1379.797685
1000000700,새문안교회,서울역사박물관,19,16,266.9429425,15.455625,15.07875,0.5625,0,0.4375,서행,1.5,1036.29433,1554.441495
1000000700,새문안교회,서울역사박물관,20,16,266.9429425,15.07875,18.02,0.5625,0,0.4375,서행,1.5,1062.195245,1593.292867
1000000800,서울역사박물관,새문안교회,10,16,266.9429425,22.449375,20.0775,0.5,0.375,0.125,서행,1.5,713.4531162,1070.179674
1000000800,서울역사박물관,새문안교회,11,16,266.9429425,20.0775,19.761875,0.3125,0.1875,0.5,정체,3,797.7375943,2393.212783
1000000800,서울역사박물관,새문안교회,12,16,266.9429425,19.761875,20.7725,0.5,0.25,0.25,서행,1.5,810.4785882,1215.717882
1000000800,서울역사박물관,새문안교회,13,16,266.9429425,20.7725,23.2225,0.5625,0.25,0.1875,서행,1.5,771.047132,1156.570698
1000000800,서울역사박물관,새문안교회,14,16,266.9429425,23.2225,25.111875,0.6875,0.25,0.0625,서행,1.5,689.700788,1034.551182
1000000800,서울역사박물관,새문안교회,15,16,266.9429425,25.111875,24.15375,0.625,0.375,0,서행,1.5,637.8088673,956.713301
1000000800,서울역사박물관,새문안교회,16,16,266.9429425,24.15375,23.375,0.5,0.4375,0.0625,서행,1.5,663.1093122,994.6639683
1000000800,서울역사박물관,새문안교회,17,16,266.9429425,23.375,22.985,0.375,0.5,0.125,원활,1,685.2011358,685.2011358
1000000800,서울역사박물관,새문안교회,18,16,266.9429425,22.985,24.403125,0.375,0.5,0.125,원활,1,696.8273461,696.8273461
1000000800,서울역사박물관,새문안교회,19,16,266.9429425,24.403125,25.50875,0.5625,0.4375,0,서행,1.5,656.3330127,984.499519
1000000800,서울역사박물관,새문안교회,20,16,266.9429425,25.50875,27.731875,0.5625,0.4375,0,서행,1.5,627.8855902,941.8283854
1000000900,세종대로사거리,새문안교회,10,16,323.9827219,33.755625,32.69375,0,1,0,원활,1,575.8733045,575.8733045
1000000900,세종대로사거리,새문안교회,11,16,323.9827219,32.69375,33.76875,0,1,0,원활,1,594.5773524,594.5773524
1000000900,세종대로사거리,새문안교회,12,16,323.9827219,33.76875,32.56875,0,1,0,원활,1,575.6494781,575.6494781
1000000900,세종대로사거리,새문안교회,13,16,323.9827219,32.56875,31.17625,0,1,0,원활,1,596.859361,596.859361
1000000900,세종대로사거리,새문안교회,14,16,323.9827219,31.17625,30.439375,0,1,0,원활,1,623.5183293,623.5183293
1000000900,세종대로사거리,새문안교회,15,16,323.9827219,30.439375,30.045625,0.0625,0.9375,0,원활,1,638.6124325,638.6124325
1000000900,세종대로사거리,새문안교회,16,16,323.9827219,30.045625,28.208125,0.0625,0.9375,0,원활,1,646.9814928,646.9814928
1000000900,세종대로사거리,새문안교회,17,16,323.9827219,28.208125,26.645,0.3125,0.6875,0,원활,1,689.1263887,689.1263887
1000000900,세종대로사거리,새문안교회,18,16,323.9827219,26.645,26.034375,0.25,0.75,0,원활,1,729.5538868,729.5538868
1000000900,세종대로사거리,새문안교회,19,16,323.9827219,26.034375,25.530625,0.375,0.625,0,원활,1,746.6652575,746.6652575
1000000900,세종대로사거리,새문안교회,20,16,323.9827219,25.530625,29.93125,0.5625,0.4375,0,서행,1.5,761.3978629,1142.096794
1000001000,새문안교회,세종대로사거리,10,16,323.9827219,22.37875,19.554375,0.875,0.125,0,서행,1.5,868.634902,1302.952353
1000001000,새문안교회,세종대로사거리,11,16,323.9827219,19.554375,19.65875,0.75,0.125,0.125,서행,1.5,994.0979098,1491.146865
1000001000,새문안교회,세종대로사거리,12,16,323.9827219,19.65875,18.054375,0.9375,0,0.0625,서행,1.5,988.8199053,1483.229858
1000001000,새문안교회,세종대로사거리,13,16,323.9827219,18.054375,18.434375,0.8125,0,0.1875,서행,1.5,1076.689906,1615.034858
1000001000,새문안교회,세종대로사거리,14,16,323.9827219,18.434375,19.69125,0.875,0,0.125,서행,1.5,1054.495382,1581.743074
1000001000,새문안교회,세종대로사거리,15,16,323.9827219,19.69125,19.905,0.9375,0,0.0625,서행,1.5,987.1878786,1480.781818
1000001000,새문안교회,세종대로사거리,16,16,323.9827219,19.905,19.514375,0.875,0,0.125,서행,1.5,976.5869537,1464.880431
1000001000,새문안교회,세종대로사거리,17,16,323.9827219,19.514375,19.7675,0.875,0,0.125,서행,1.5,996.1355828,1494.203374
1000001000,새문안교회,세종대로사거리,18,16,323.9827219,19.7675,21.505,0.9375,0,0.0625,서행,1.5,983.3799577,1475.069937
1000001000,새문안교회,세종대로사거리,19,16,323.9827219,21.505,21.779375,0.9375,0.0625,0,서행,1.5,903.9276128,1355.891419
1000001000,새문안교회,세종대로사거리,20,16,323.9827219,21.779375,23.97125,1,0,0,서행,1.5,892.5399978,1338.809997
1000001100,종로3가,종로2가,10,16,255.3219764,15.174375,15.54375,0.375,0,0.625,정체,3,1009.551865,3028.655596
1000001100,종로3가,종로2가,11,16,255.3219764,15.54375,14.681875,0.5625,0,0.4375,서행,1.5,985.5613082,1478.341962
1000001100,종로3가,종로2가,12,16,255.3219764,14.681875,13.971875,0.3125,0,0.6875,정체,3,1043.417042,3130.251126
1000001100,종로3가,종로2가,13,16,255.3219764,13.971875,13.853125,0.25,0,0.75,정체,3,1096.439711,3289.319132
1000001100,종로3가,종로2가,14,16,255.3219764,13.853125,12.999375,0.25,0,0.75,정체,3,1105.838472,3317.515416
1000001100,종로3가,종로2가,15,16,255.3219764,12.999375,12.39875,0.1875,0,0.8125,정체,3,1178.465779,3535.397337
1000001100,종로3가,종로2가,16,16,255.3219764,12.39875,11.153125,0.25,0,0.75,정체,3,1235.55347,3706.660409
1000001100,종로3가,종로2가,17,16,255.3219764,11.153125,11.49,0.1875,0,0.8125,정체,3,1373.544956,4120.634867
1000001100,종로3가,종로2가,18,16,255.3219764,11.49,11.216875,0.25,0,0.75,정체,3,1333.274028,3999.822085
1000001100,종로3가,종로2가,19,16,255.3219764,11.216875,12.00875,0.1875,0,0.8125,정체,3,1365.738549,4097.215646
1000001100,종로3가,종로2가,20,16,255.3219764,12.00875,15.05875,0.3125,0,0.6875,정체,3,1275.679699,3827.039097
1000001200,종로2가,종로3가,10,16,255.3219764,26.846875,26.10875,0.5,0.5,0,서행,1.5,570.6183153,855.927473
1000001200,종로2가,종로3가,11,16,255.3219764,26.10875,24.536875,0.6875,0.3125,0,서행,1.5,586.7503647,880.125547
1000001200,종로2가,종로3가,12,16,255.3219764,24.536875,23.524375,1,0,0,서행,1.5,624.3386162,936.5079243
1000001200,종로2가,종로3가,13,16,255.3219764,23.524375,23.005625,0.9375,0.0625,0,서행,1.5,651.2104396,976.8156593
1000001200,종로2가,종로3가,14,16,255.3219764,23.005625,22.565,1,0,0,서행,1.5,665.8944751,998.8417127
1000001200,종로2가,종로3가,15,16,255.3219764,22.565,22.158125,1,0,0,서행,1.5,678.8973447,1018.346017
1000001200,종로2가,종로3가,16,16,255.3219764,22.158125,22.229375,1,0,0,서행,1.5,691.3634878,1037.045232
1000001200,종로2가,종로3가,17,16,255.3219764,22.229375,22.71875,1,0,0,서행,1.5,689.1475169,1033.721275
1000001200,종로2가,종로3가,18,16,255.3219764,22.71875,22.465625,0.9375,0.0625,0,서행,1.5,674.3028813,1011.454322
1000001200,종로2가,종로3가,19,16,255.3219764,22.465625,22.64625,1,0,0,서행,1.5,681.900396,1022.850594
1000001200,종로2가,종로3가,20,16,255.3219764,22.64625,22.47375,0.9375,0.0625,0,서행,1.5,676.4616033,1014.692405
1000001300,종로구청입구,세종대로사거리,10,16,364.4224926,28.23375,26.79625,0.3125,0.6875,0,원활,1,774.440149,774.440149
1000001300,종로구청입구,세종대로사거리,11,16,364.4224926,26.79625,25.710625,0.3125,0.6875,0,원활,1,815.9854292,815.9854292
1000001300,종로구청입구,세종대로사거리,12,16,364.4224926,25.710625,24.22,0.6875,0.3125,0,서행,1.5,850.440219,1275.660329
1000001300,종로구청입구,세종대로사거리,13,16,364.4224926,24.22,23.129375,0.75,0.25,0,서행,1.5,902.7807414,1354.171112
1000001300,종로구청입구,세종대로사거리,14,16,364.4224926,23.129375,20.644375,0.8125,0.1875,0,서행,1.5,945.3497795,1418.024669
1000001300,종로구청입구,세종대로사거리,15,16,364.4224926,20.644375,20.425,0.9375,0,0.0625,서행,1.5,1059.143208,1588.714811
1000001300,종로구청입구,세종대로사거리,16,16,364.4224926,20.425,18.291875,0.8125,0.125,0.0625,서행,1.5,1070.51895,1605.778425
1000001300,종로구청입구,세종대로사거리,17,16,364.4224926,18.291875,17.710625,0.5625,0.0625,0.375,서행,1.5,1195.358571,1793.037856
1000001300,종로구청입구,세종대로사거리,18,16,364.4224926,17.710625,17.95125,0.875,0,0.125,서행,1.5,1234.589381,1851.884072
1000001300,종로구청입구,세종대로사거리,19,16,364.4224926,17.95125,19.255625,0.875,0,0.125,서행,1.5,1218.040502,1827.060753
1000001300,종로구청입구,세종대로사거리,20,16,364.4224926,19.255625,22.969375,0.75,0.1875,0.0625,서행,1.5,1135.530504,1703.295756
1000001400,세종대로사거리,종로구청입구,10,16,364.4224926,22.609375,20.809375,0.75,0.1875,0.0625,서행,1.5,967.0921711,1450.638257
1000001400,세종대로사거리,종로구청입구,11,16,364.4224926,20.809375,19.40875,1,0,0,서행,1.5,1050.745136,1576.117703
1000001400,세종대로사거리,종로구청입구,12,16,364.4224926,19.40875,18.4425,1,0,0,서행,1.5,1126.571755,1689.857633
1000001400,세종대로사거리,종로구청입구,13,16,364.4224926,18.4425,19.438125,0.9375,0,0.0625,서행,1.5,1185.595747,1778.39362
1000001400,세종대로사거리,종로구청입구,14,16,364.4224926,19.438125,19.660625,1,0,0,서행,1.5,1124.869274,1687.303911
1000001400,세종대로사거리,종로구청입구,15,16,364.4224926,19.660625,21.37875,1,0,0,서행,1.5,1112.139088,1668.208632
1000001400,세종대로사거리,종로구청입구,16,16,364.4224926,21.37875,20.704375,0.9375,0,0.0625,서행,1.5,1022.760898,1534.141348
1000001400,세종대로사거리,종로구청입구,17,16,364.4224926,20.704375,20.543125,0.75,0.125,0.125,서행,1.5,1056.073876,1584.110814
1000001400,세종대로사거리,종로구청입구,18,16,364.4224926,20.543125,21.02125,0.6875,0.1875,0.125,서행,1.5,1064.36336,1596.54504
1000001400,세종대로사거리,종로구청입구,19,16,364.4224926,21.02125,20.540625,0.9375,0,0.0625,서행,1.5,1040.154584,1560.231877
1000001400,세종대로사거리,종로구청입구,20,16,364.4224926,20.540625,22.130625,0.8125,0.1875,0,서행,1.5,1064.492904,1596.739356
1000001500,종로4가,종로3가,10,16,699.0646597,26.85125,25.27375,0.625,0.375,0,서행,1.5,1562.082941,2343.124412
1000001500,종로4가,종로3가,11,16,699.0646597,25.27375,24.486875,0.625,0.375,0,서행,1.5,1659.582752,2489.374128
1000001500,종로4가,종로3가,12,16,699.0646597,24.486875,22.881875,0.6875,0.3125,0,서행,1.5,1712.912717,2569.369075
1000001500,종로4가,종로3가,13,16,699.0646597,22.881875,22.023125,0.8125,0.1875,0,서행,1.5,1833.061302,2749.591953
1000001500,종로4가,종로3가,14,16,699.0646597,22.023125,21.710625,0.8125,0.1875,0,서행,1.5,1904.538052,2856.807078
1000001500,종로4가,종로3가,15,16,699.0646597,21.710625,19.914375,0.875,0.125,0,서행,1.5,1931.951732,2897.927599
1000001500,종로4가,종로3가,16,16,699.0646597,19.914375,16.901875,0.9375,0,0.0625,서행,1.5,2106.211196,3159.316794
1000001500,종로4가,종로3가,17,16,699.0646597,16.901875,17.8175,0.8125,0,0.1875,서행,1.5,2481.611039,3722.416559
1000001500,종로4가,종로3가,18,16,699.0646597,17.8175,17.5325,0.6875,0.0625,0.25,서행,1.5,2354.083322,3531.124982
1000001500,종로4가,종로3가,19,16,699.0646597,17.5325,19.2325,0.8125,0,0.1875,서행,1.5,2392.350183,3588.525274
1000001500,종로4가,종로3가,20,16,699.0646597,19.2325,24.63875,0.75,0.125,0.125,서행,1.5,2180.885459,3271.328188
1000001600,종로3가,종로4가,10,16,699.0646597,26.756875,26.208125,0.5,0.5,0,서행,1.5,1567.592612,2351.388919
1000001600,종로3가,종로4가,11,16,699.0646597,26.208125,25.0125,0.625,0.375,0,서행,1.5,1600.415122,2400.622684
1000001600,종로3가,종로4가,12,16,699.0646597,25.0125,23.94375,0.8125,0.1875,0,서행,1.5,1676.916725,2515.375087
1000001600,종로3가,종로4가,13,16,699.0646597,23.94375,22.640625,0.8125,0.1875,0,서행,1.5,1751.767354,2627.651031
1000001600,종로3가,종로4가,14,16,699.0646597,22.640625,22.0375,0.9375,0.0625,0,서행,1.5,1852.593715,2778.890573
1000001600,종로3가,종로4가,15,16,699.0646597,22.0375,21.693125,0.9375,0.0625,0,서행,1.5,1903.295727,2854.94359
1000001600,종로3가,종로4가,16,16,699.0646597,21.693125,22.046875,0.9375,0.0625,0,서행,1.5,1933.510252,2900.265378
1000001600,종로3가,종로4가,17,16,699.0646597,22.046875,21.839375,0.8125,0.1875,0,서행,1.5,1902.486388,2853.729582
1000001600,종로3가,종로4가,18,16,699.0646597,21.839375,21.630625,0.875,0.125,0,서행,1.5,1920.562268,2880.843402
1000001600,종로3가,종로4가,19,16,699.0646597,21.630625,21.390625,0.75,0.1875,0.0625,서행,1.5,1939.096979,2908.645468
1000001600,종로3가,종로4가,20,16,699.0646597,21.390625,22.06625,1,0,0,서행,1.5,1960.853392,2941.280088
1000001700,종로5가,종로4가,10,16,386.384432,21.905,19.935,0.875,0.125,0,서행,1.5,1058.345853,1587.51878
1000001700,종로5가,종로4가,11,16,386.384432,19.935,18.26375,0.9375,0.0625,0,서행,1.5,1162.932828,1744.399242
1000001700,종로5가,종로4가,12,16,386.384432,18.26375,16.391875,1,0,0,서행,1.5,1269.348623,1904.022935
1000001700,종로5가,종로4가,13,16,386.384432,16.391875,15.613125,0.75,0,0.25,서행,1.5,1414.302264,2121.453396
1000001700,종로5가,종로4가,14,16,386.384432,15.613125,15.774375,0.5625,0,0.4375,서행,1.5,1484.844701,2227.267051
1000001700,종로5가,종로4가,15,16,386.384432,15.774375,15.629375,0.625,0,0.375,서행,1.5,1469.66621,2204.499315
1000001700,종로5가,종로4가,16,16,386.384432,15.629375,15.644375,0.6875,0,0.3125,서행,1.5,1483.300895,2224.951342
1000001700,종로5가,종로4가,17,16,386.384432,15.644375,15.32,0.6875,0,0.3125,서행,1.5,1481.878689,2222.818034
1000001700,종로5가,종로4가,18,16,386.384432,15.32,17.11375,0.625,0,0.375,서행,1.5,1513.254956,2269.882433
1000001700,종로5가,종로4가,19,16,386.384432,17.11375,18.854375,0.8125,0,0.1875,서행,1.5,1354.645587,2031.968381
1000001700,종로5가,종로4가,20,16,386.384432,18.854375,22.034375,0.9375,0,0.0625,서행,1.5,1229.58549,1844.378235
1000001800,종로4가,종로5가,10,16,386.384432,30.20375,27.406875,0,1,0,원활,1,767.5558803,767.5558803
1000001800,종로4가,종로5가,11,16,386.384432,27.406875,25.030625,0.25,0.75,0,원활,1,845.8850533,845.8850533
1000001800,종로4가,종로5가,12,16,386.384432,25.030625,23.6125,0.75,0.25,0,서행,1.5,926.1880564,1389.282085
1000001800,종로4가,종로5가,13,16,386.384432,23.6125,22.08625,0.8125,0.1875,0,서행,1.5,981.8132735,1472.71991
1000001800,종로4가,종로5가,14,16,386.384432,22.08625,21.530625,0.9375,0.0625,0,서행,1.5,1049.660577,1574.490866
1000001800,종로4가,종로5가,15,16,386.384432,21.530625,20.091875,1,0,0,서행,1.5,1076.748395,1615.122593
1000001800,종로4가,종로5가,16,16,386.384432,20.091875,20.2725,0.875,0,0.125,서행,1.5,1153.852785,1730.779177
1000001800,종로4가,종로5가,17,16,386.384432,20.2725,20.070625,1,0,0,서행,1.5,1143.572126,1715.358189
1000001800,종로4가,종로5가,18,16,386.384432,20.070625,19.070625,1,0,0,서행,1.5,1155.074439,1732.611659
1000001800,종로4가,종로5가,19,16,386.384432,19.070625,19.1775,0.9375,0,0.0625,서행,1.5,1215.642692,1823.464039
1000001800,종로4가,종로5가,20,16,386.384432,19.1775,21.209375,0.875,0.125,0,서행,1.5,1208.867992,1813.301988
1000001900,흥인지문,종로5가,10,16,668.5543025,21.79,19.2675,0.8125,0.1875,0,서행,1.5,1840.902164,2761.353246
1000001900,흥인지문,종로5가,11,16,668.5543025,19.2675,17.871875,0.875,0.0625,0.0625,서행,1.5,2081.91297,3122.869455
1000001900,흥인지문,종로5가,12,16,668.5543025,17.871875,16.74125,0.8125,0,0.1875,서행,1.5,2244.490752,3366.736127
1000001900,흥인지문,종로5가,13,16,668.5543025,16.74125,17.46625,0.8125,0,0.1875,서행,1.5,2396.073062,3594.109593
1000001900,흥인지문,종로5가,14,16,668.5543025,17.46625,17.15,0.8125,0,0.1875,서행,1.5,2296.615367,3444.92305
1000001900,흥인지문,종로5가,15,16,668.5543025,17.15,16.075,0.8125,0,0.1875,서행,1.5,2338.96549,3508.448235
1000001900,흥인지문,종로5가,16,16,668.5543025,16.075,15.61125,0.8125,0,0.1875,서행,1.5,2495.381533,3743.0723
1000001900,흥인지문,종로5가,17,16,668.5543025,15.61125,16.32125,0.75,0,0.25,서행,1.5,2569.50969,3854.264535
1000001900,흥인지문,종로5가,18,16,668.5543025,16.32125,17.760625,0.75,0,0.25,서행,1.5,2457.731984,3686.597977
1000001900,흥인지문,종로5가,19,16,668.5543025,17.760625,19.489375,1,0,0,서행,1.5,2258.549919,3387.824878
1000001900,흥인지문,종로5가,20,16,668.5543025,19.489375,21.201875,1,0,0,서행,1.5,2058.211623,3087.317434
1000002000,종로5가,흥인지문,10,16,668.5543025,30.928125,28.683125,0,1,0,원활,1,1296.983188,1296.983188
